name,address,date,time,website,maps_url,maps_url_check
Hotel Casa 425 Lounge & Bar,"425 W 1st St, Claremont, CA 91711",May 11,5:00 PM,https://www.casa425.com/lounge-bar,"https://www.google.com/maps/place/Hotel+Casa+425+%2B+Lounge/@34.094804,-117.7224827,17z/data=!3m1!4b1!4m5!3m4!1s0x80c331c200fc8ebd:0x92efc2a6b2b389c3!8m2!3d34.094804!4d-117.720294",good
Joe's No Limits Bar & Grill,"124 W Commonwealth Ave, Fullerton, CA 92832",May 16,5:00 PM,http://joesnolimits.com/index.php,"https://www.google.com/maps/place/Joe's+Tavern/@33.8744883,-117.917109,16z/data=!4m5!3m4!1s0x0:0x4be18ca1c32bb419!8m2!3d33.8700521!4d-117.9254775",good
Matty G's Steakburgers & Spirits,"25401 Madison Ave, Murrieta, CA 92562",May 18,5:00 PM,https://www.facebook.com/mattygsmurrieta/,"https://www.google.com/maps/place/Matty+G's+Steakburgers+%26+Spirit's/@33.5512849,-117.1964584,17z/data=!3m1!4b1!4m5!3m4!1s0x80dc82179f7afadb:0xb12c72e8df5d93d!8m2!3d33.5512849!4d-117.1942697",good
Club Lucky,"1824 W Wabansia Ave, Chicago, IL 60622",May 19,4:00 PM,https://clubluckychicago.com,"https://www.google.com/maps/place/Club+Lucky/@41.9124747,-87.6759152,17z/data=!3m1!4b1!4m5!3m4!1s0x880fd2c168d7bb6d:0x696d5bc5207a4be5!8m2!3d41.9124707!4d-87.6737265",good
Señor Frogs,"8747 International Dr #103, Orlando, FL 32819",May 19,9PM -12AM,http://senorfrogs.com/orlando,"https://www.google.com/maps/place/Se%C3%B1or+Frog's/@28.4364356,-81.478802,16z/data=!4m5!3m4!1s0x88e77e4d2491f645:0x3fee96ea0797b106!8m2!3d28.438181!4d-81.470927",good
The Attic Rooftop & Lounge,"251 W 48th St, New York, NY 10036",May 19,6-9 PM,http://www.theattic-nyc.com/,"https://www.google.com/maps/place/The+Attic+Rooftop+%26+Lounge/@40.761071,-73.9889077,17z/data=!3m1!4b1!4m5!3m4!1s0x89c2585683f296f3:0x2e4cf1c211c6755c!8m2!3d40.761071!4d-73.986719",good
The Factory,"1612 Madison St, Brooklyn, NY 11385",May 19,TBA,https://www.instagram.com/thefactorybk/,"https://www.google.com/maps/place/THE+FACTORY-BK+Bar+%26+Restaurant/@40.698884,-73.911514,17z/data=!3m1!4b1!4m5!3m4!1s0x89c25c23b58408d9:0x5faf41dfa8b110b1!8m2!3d40.69888!4d-73.90932",good
Jimmy's Grand Cafe,"1001 Castle Hill Ave, Bronx, NY 10472",May 19,7:00 PM,http://www.jimmysgrandcafebronx.com/,"https://www.google.com/maps/place/Jimmy's+Grand+Cafe/@40.827712,-73.8525357,17z/data=!3m1!4b1!4m5!3m4!1s0x89c2f4db7b42872d:0xbe5ba921f6b27fea!8m2!3d40.827712!4d-73.850347",good
Kanela Andersonville,"5413 N Clark St, Chicago, IL 60640",May 19,1:00 PM,http://www.kanelabreakfastclub.com/,"https://www.google.com/maps/place/Kanela+Breakfast+Club/@41.9802946,-87.6702071,17z/data=!3m1!4b1!4m5!3m4!1s0x880fd188aab1cf39:0xf8f2a78bb389b137!8m2!3d41.9802946!4d-87.6680184",good
Cortland's Garage,"1645 W Cortland St, Chicago, IL 60622",May 19,6:00 PM,http://www.cortlandsgarage.com/main/HOME_2.html,"https://www.google.com/maps/place/Cortland's+Garage/@41.9159792,-87.671781,17z/data=!3m1!4b1!4m5!3m4!1s0x880fd2c29ddc71e7:0xac849a4e8f9b2446!8m2!3d41.9159752!4d-87.6695923",good
New Line Tavern,"201 N Clinton St, Chicago, IL 60661",May 19,2:00 PM,http://newlinetavern.com/,"https://www.google.com/maps/place/New+Line+Tavern/@41.8859506,-87.6433346,17z/data=!3m1!4b1!4m5!3m4!1s0x880e2cc883ffe14b:0x9d67ba156634a112!8m2!3d41.8859506!4d-87.6411406",good
Red Dot,"6715 W North Ave, Wauwatosa, WI 53213",May 19,7-9 PM,http://www.reddotmke.com/,"https://www.google.com/maps/place/Red+Dot/@43.0606272,-87.9990399,17z/data=!3m1!4b1!4m5!3m4!1s0x88051b40a9453c37:0x44e52b6b64f87cb2!8m2!3d43.0606233!4d-87.9968512",good
Boho House,"11 W Illinois St, Chicago, IL 60654",May 20,5:00 PM,http://www.bohochicago.com,"https://www.google.com/maps/place/Bohemian+House/@41.8906154,-87.6306895,17z/data=!3m1!4b1!4m5!3m4!1s0x880e2cadf8aa2af7:0x46d621cc9e1daf24!8m2!3d41.8906114!4d-87.6285008",good
Vincent's Clam Bar,"179 Old Country Rd, Carle Place, NY 11514",May 20,5-7 PM,http://www.vincentsclambar.com/,"https://www.google.com/maps/place/Vincent's+Clam+Bar/@40.7442958,-73.6165644,17z/data=!3m1!4b1!4m5!3m4!1s0x89c287870a724783:0xc5909e6dc2ab33d2!8m2!3d40.7442958!4d-73.6143757",good
Mom's Place,"650 N Dearborn St, Chicago, IL 60654",May 20,7:00 PM,https://www.momsplacechicago.com,"https://www.google.com/maps/place/Mom's+Place+-+A+Chicago+Gathering+Spot/@41.8938703,-87.6321804,17z/data=!3m1!4b1!4m5!3m4!1s0x880e2cb2ebcb9035:0xc93a4ec95df26c64!8m2!3d41.8938663!4d-87.6299917",good
Fado Irish Pub,"100 W Grand Ave, Chicago, IL 60654",May 20,3:00 PM,http://fadoirishpub.com/chicago/,"https://www.google.com/maps/place/Fado+Irish+Pub+Chicago/@41.8917224,-87.6335177,17z/data=!3m1!4b1!4m5!3m4!1s0x880e2cb3b5d998fd:0x19ee60e9af746460!8m2!3d41.8917224!4d-87.631329",good
East Pacific,"2655 Richmond Avenue, Staten Island, NY 10314",May 20,5-7 PM,http://eastpacificsi.com/,"https://www.google.com/maps/place/East+Pacific+Restaurant+Inc/@40.5823555,-74.1673638,17z/data=!3m2!4b1!5s0x89c24b80b4892eab:0x7edf0a3a89896480!4m5!3m4!1s0x89c24b80b48928af:0xe370d82917be61c2!8m2!3d40.5823555!4d-74.1651751",good
Matty G's Steakburgers & Spirits,"136 Commonwealth Ave, Fullerton, CA 92832",May 20,6:00 PM,https://www.facebook.com/mgsteakburgers/,"https://www.google.com/maps/place/Matty+G's+Steakburgers+%26+Spirit's/@33.8700813,-117.9280264,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2a081026603f:0x7f3f8f4fa520dae!8m2!3d33.8700813!4d-117.9258377",good
The Garage,"1709 N Arlington Pl, Milwaukee, WI 53202",May 20,9-11 PM,http://www.hihatlounge.com/,"https://www.google.com/maps/place/The+Garage/@43.1043996,-87.9903553,13z/data=!4m8!1m2!2m1!1sgarage+near+Milwaukee,+WI!3m4!1s0x8805191de68efcd7:0xca07384de616f176!8m2!3d43.0532032!4d-87.8950976",good
Stella's Fish Cafe,"1400 W Lake St, Minneapolis, MN 55408",May 20,4-6 PM,http://www.stellasfishcafe.com/stellasfishcafe/,"https://www.google.com/maps/place/Stella's+Fish+Café+%26+Prestige+Oyster+Bar/@44.9485787,-93.299485,17z/data=!3m1!4b1!4m5!3m4!1s0x87f627819298059b:0xa53dc0e7429de44!8m2!3d44.9485787!4d-93.2972963",good
Sutherlands,"5353 W Irving Park Rd, Chicago, IL 60641",May 21,2:00 PM,http://www.sutherlandschicago.com/Home.html,"https://www.google.com/maps/place/Sutherlands/@41.9530068,-87.763898,17z/data=!3m1!4b1!4m5!3m4!1s0x880fcc6c07ac17bd:0xefc537dd7dd253dd!8m2!3d41.9530028!4d-87.7617093",good
Moscow on the Hill,"371 Selby Ave, St Paul, MN 55102",May 21,12-2 PM,http://moscowonthehill.com/,"https://www.google.com/maps/place/Moscow+on+the+Hill/@44.9466704,-93.1156134,15z/data=!4m12!1m6!3m5!1s0x0:0x810e60577afe308f!2sMoscow+on+the+Hill!8m2!3d44.9466704!4d-93.1156134!3m4!1s0x0:0x810e60577afe308f!8m2!3d44.9466704!4d-93.1156134",good
